   vsn    | size  | free  | location |  modified  |   ship   | transit 
 HOB+1010 | 16000 |   473 | ho       | 2019-05-06 | 2637372183        | f
 HOB+0110 | 16000 |  3036 | ho       | 2019-05-20 | 7898358344        | f
 BKG-0015 |  1480 |   433 | ho       | 2020-05-06 | 1172927825        | f
 HART-032 |  1310 |   189 | ho       | 2019-05-24 | 2585925101        | f
 HOB+0064 |  8000 |     0 | ho       | 2020-07-31 | URV76398          | f
 HOB+0116 | 16000 |    37 | ho       | 2019-10-15 | URV76375          | f
 HOB+1000 |  8000 |  1031 | ho       | 2020-06-24 | 4789596195        | f
 HART-015 |  1480 |   372 | ho       | 2019-10-30 | URV76377          | f
 HOB+0086 |  8000 |  8000 | ho       | 2020-07-03 | 5384276590        | f
 USN+0220 |  8000 |  1752 | ho       | 2019-05-09 | 1612553762        | f
 HOB+0039 | 16000 |  7594 | ho       | 2020-04-07 | 7416334984        | f
 MPI-0510 |  4000 |     0 | ho       | 2019-05-27 | URV76347          | f
 HOB+0025 |  6000 |   647 | ho       | 2019-12-23 | URV76397          | f
 HOB+0128 | 32000 | 19894 | ho       | 2019-10-30 | 9497495615        | f
 HAY-0047 |  6000 |  6000 | ho       | 2020-03-26 | 5340916346        | f
 HOB+0034 |  6000 |    13 | ho       | 2020-06-30 |                   | f
 MAT+0004 |  8000 |  8000 | ho       | 2020-07-03 |                   | f
 HOB+0118 | 32000 |  2565 | ho       | 2019-03-24 | 7303534560        | f
 PKS+0011 |  8000 |   510 | ho       | 2018-12-15 |                   | f
 USN-0182 |  2000 |   462 | ho       | 2019-11-11 | 8433070122        | f
 HOB+0126 | 32000 | 23519 | ho       | 2020-08-12 | 5398312124        | t
 HOB+0106 | 16000 |  4620 | ho       | 2020-07-09 | URV76301          | f
 TR-00011 |  2000 |  1034 | ho       | 2020-01-22 | 7507038696        | f
 HOB+1012 | 16000 |  5363 | ho       | 2020-07-22 | 2229766534        | f
 USN-0201 |  2000 |  1975 | ho       | 2019-10-30 | 4707264870        | f
 HOB+0042 | 16000 |  4258 | ho       | 2019-06-03 | 5704774644        | f
